Rank,Symbol,Rating,Name,Score,3 Months Perf,Creation date
1075,NLY,BB-,Annaly Capital Management Inc Common Stock,96.699,11.47,12/17/2020
1076,BX,BB-,The Blackstone Group L.P. Common Units Representi,96.696,24.38,11/22/2020
1077,XLNX,BB-,"Xilinx, Inc. - Common Stock",96.658,51.27,10/11/2020
1078,VVNT,BB-,"Vivint Smart Home, Inc.",96.655,30.37,12/11/2020
1079,SBSW,BB-,D/B/A Sibanye-Stillwater Limited ADS,96.654,47.56,12/11/2020
1080,BLD,BB-,TopBuild Corp. Common Stock,96.653,19.01,11/20/2020
1081,TGT,BB-,Target Corporation Common Stock,96.65,16.22,12/12/2020
1082,TSLX,BB-,"TPG Specialty Lending, Inc. Common Stock",96.646,22.93,12/18/2020
1083,BEP,BB-,Brookfield Renewable Partners L.P.,96.643,29.21,12/15/2020
1084,MXL,BB-,"MaxLinear, Inc. Common Stock",96.627,31.83,12/18/2020
1085,ZION,BB-,Zions Bancorporation - Common Stock,96.623,33.7,12/8/2020
1086,CWT,BB-,California Water Service Group Common Stock,96.619,30.89,12/11/2020
1087,VVV,BB-,Valvoline Inc. Common Stock,96.606,15.89,12/17/2020
1088,VFC,BB-,V.F. Corporation Common Stock,96.598,20.1,12/16/2020
1089,ACIW,BB-,"ACI Worldwide, Inc. - Common Stock",96.592,53.57,12/18/2020
1090,HELE,BB-,Helen of Troy Limited - Common Stock,96.59,14.28,12/18/2020
1091,GFI,BB-,Gold Fields Limited American Depositary Shares,96.589,-24.59,12/17/2020
1092,MNSO,BB-,MINISO Group Holding Limited American Depositary,96.58,15.9,12/8/2020
1093,AZEK,BB-,The AZEK Company Inc. Class A Common Stock,96.57,8.24,12/13/2020
1094,TEF,BB-,Telefonica SA Common Stock,96.566,21.17,12/17/2020
1095,MT,BB-,Arcelor Mittal NY Registry Shares NEW,96.559,64.57,12/3/2020
1096,BP,BB-,BP p.l.c. Common Stock,96.551,14.88,12/17/2020
1097,FE,B+,FirstEnergy Corporation Common Stock,96.515,6.94,11/23/2020
1098,CCOI,B+,"Cogent Communications Holdings, Inc. - Common Sto",96.514,-3.2,12/13/2020
1099,TFII,B+,TFI International Inc. Common Shares,96.513,22.67,12/18/2020
